Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Rugby Sevens,Men's Pool C (#M03),France,United States,2024-07-24T14:30:00.000+00:00,
Football,Men's Group C (#6),Egypt,Dominican Republic,2024-07-24T15:00:00.000+00:00,
Football,Men's Group D (#7),Mali,Israel,2024-07-24T19:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#1),Slovenia,Denmark,2024-07-25T07:00:00.000+00:00,
Archery,Women's Individual Ranking Round,,,2024-07-25T07:30:00.000+00:00,
Handball,Women's Preliminary Round Group B (#2),Netherlands,Angola,2024-07-25T09:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#3),Spain,Brazil,2024-07-25T12:00:00.000+00:00,
Rugby Sevens,Men's Pool B (#M13),Samoa,Kenya,2024-07-25T12:00:00.000+00:00,
Archery,Men's Individual Ranking Round,,,2024-07-25T12:15:00.000+00:00,
Rugby Sevens,Men's Pool B (#M14),Argentina,Australia,2024-07-25T12:30:00.000+00:00,
Rugby Sevens,Men's Pool C (#M15),United States,Uruguay,2024-07-25T13:00:00.000+00:00,
Rugby Sevens,Men's Pool C (#M16),Fiji,France,2024-07-25T13:30:00.000+00:00,
Handball,Women's Preliminary Round Group A (#4),Germany,Korea,2024-07-25T14:00:00.000+00:00,
Rugby Sevens,Men's Pool A (#M17),South Africa,Japan,2024-07-25T14:00:00.000+00:00,
Rugby Sevens,Men's Pool A (#M18),New Zealand,Ireland,2024-07-25T14:30:00.000+00:00,
Football,Women's Group A (#2),Canada,New Zealand,2024-07-25T15:00:00.000+00:00,
Football,Women's Group C (#5),Spain,Japan,2024-07-25T15:00:00.000+00:00,
Football,Women's Group B (#4),Germany,Australia,2024-07-25T17:00:00.000+00:00,
Football,Women's Group C (#6),Nigeria,Brazil,2024-07-25T17:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#5),Hungary,France,2024-07-25T17:00:00.000+00:00,
Rugby Sevens,Men's Placing 9-12 (#M19),9th in Overall Ranking,12th in Overall Ranking,2024-07-25T18:00:00.000+00:00,
Rugby Sevens,Men's Placing 9-12 (#M20),10th in Overall Ranking,11th in Overall Ranking,2024-07-25T18:30:00.000+00:00,
Football,Women's Group A (#1),France,Colombia,2024-07-25T19:00:00.000+00:00,
Football,Women's Group B (#3),United States,Zambia,2024-07-25T19:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#6),Norway,Sweden,2024-07-25T19:00:00.000+00:00,
Rugby Sevens,Men's Quarter-final (#M21),1st in Pool A,8th in Overall Ranking,2024-07-25T19:00:00.000+00:00,
Rugby Sevens,Men's Quarter-final (#M22),2nd in Pool B,2nd in Pool C,2024-07-25T19:30:00.000+00:00,
Rugby Sevens,Men's Quarter-final (#M23),1st in Pool C,2nd in Pool A,2024-07-25T20:00:00.000+00:00,
Rugby Sevens,Men's Quarter-final (#M24),1st in Pool B,7th in Overall Ranking,2024-07-25T20:30:00.000+00:00,
Opening Ceremony,,,,2024-07-26T18:00:00.000+00:00,
