Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Beach Volleyball,Men's Preliminary Phase - Pool C (#33),EHLERS/WICKLER,BRYL/LOSIAK,2024-08-03T07:00:00.000+00:00,
Golf,Men's Individual Stroke Play Round 3,,,2024-08-03T07:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#25),Hungary,Netherlands,2024-08-03T07:00:00.000+00:00,
Shooting,Skeet Men's Qualification - Day 2,,,2024-08-03T07:00:00.000+00:00,
Shooting,Skeet Women's Qualification - Day 1,,,2024-08-03T07:00:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool C (#13),Netherlands,Dominican Republic,2024-08-03T07:00:00.000+00:00,
Shooting,25m Pistol Women's Final,,,2024-08-03T07:30:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool C (#27),HODGES/SCHUBERT,BASSEREAU/LYNEEL,2024-08-03T08:00:00.000+00:00,
Equestrian,Dressage Team Grand Prix Special,,,2024-08-03T08:00:00.000+00:00,medal match
Hockey,Women's Pool B (#W25),Great Britain,Argentina,2024-08-03T08:00:00.000+00:00,
Athletics,Men's Decathlon 110m Hurdles,,,2024-08-03T08:05:00.000+00:00,
Athletics,Men's Pole Vault Qualification,,,2024-08-03T08:10:00.000+00:00,
Hockey,Women's Pool A (#W26),Netherlands,Japan,2024-08-03T08:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#19),Spain,Japan,2024-08-03T08:30:00.000+00:00,
Athletics,Men's 100m Preliminary Round,,,2024-08-03T08:35:00.000+00:00,
Rowing,Women's Eight Final A,,,2024-08-03T08:50:00.000+00:00,medal match
Athletics,Men's Decathlon Discus Throw - Group A,,,2024-08-03T08:55:00.000+00:00,
Basketball,Women's Group Phase - Group A (#29),China,Puerto Rico,2024-08-03T09:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool D (#28),ESMEE/ZOE,POLETTI/MICHELLE,2024-08-03T09:00:00.000+00:00,
Cycling Road,Men's Road Race,,,2024-08-03T09:00:00.000+00:00,medal match
Handball,Women's Preliminary Round Group B (#26),Spain,France,2024-08-03T09:00:00.000+00:00,
Swimming,Women's 50m Freestyle - Heats,,,2024-08-03T09:00:00.000+00:00,
Swimming,Men's 1500m Freestyle - Heats,,,,
