Sport,Sport_subTitle,Team1,Team2,StartTime,Round
3x3 Basketball,Women's Pool Round (#33),China,Germany,2024-08-02T07:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool E (#29),PAULIKIENE/RAUPELYTE,AKIKO/ISHII,2024-08-02T07:00:00.000+00:00,
Golf,Men's Individual Stroke Play Round 2,,,2024-08-02T07:00:00.000+00:00,
Handball,Men's Preliminary Round Group B (#19),Hungary,Denmark,2024-08-02T07:00:00.000+00:00,
Shooting,25m Pistol Women's Qualification Precision,,,2024-08-02T07:00:00.000+00:00,
Shooting,Skeet Men's Qualification - Day 1,,,2024-08-02T07:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool C (#13),Argentina,Germany,2024-08-02T07:00:00.000+00:00,
3x3 Basketball,Women's Pool Round (#34),Australia,Azerbaijan,2024-08-02T07:30:00.000+00:00,
Shooting,50m Rifle 3 Positions Women's Final,,,2024-08-02T07:30:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool B (#26),RANGHIERI/CARAMBULA,M.GRIMALT/E.GRIMALT,2024-08-02T08:00:00.000+00:00,
Hockey,Women's Pool A (#W23),China,Germany,2024-08-02T08:00:00.000+00:00,
Table Tennis,Women's Singles Semifinal,,,2024-08-02T08:00:00.000+00:00,
3x3 Basketball,Men's Pool Round (#35),Lithuania,China,2024-08-02T08:05:00.000+00:00,
Athletics,Men's Decathlon 100m,,,2024-08-02T08:05:00.000+00:00,
Athletics,Men's Hammer Throw Qualification - Group A,,,2024-08-02T08:10:00.000+00:00,
Athletics,Women's High Jump Qualification,,,2024-08-02T08:15:00.000+00:00,
Hockey,Men's Pool A (#M25),Netherlands,Spain,2024-08-02T08:30:00.000+00:00,
3x3 Basketball,Men's Pool Round (#36),Poland,Netherlands,2024-08-02T08:35:00.000+00:00,
Athletics,Women's 100m Preliminary Round,,,2024-08-02T08:35:00.000+00:00,
Athletics,Men's Decathlon Long Jump,,,2024-08-02T08:55:00.000+00:00,
Basketball,Men's Group Phase - Group B (#25),Japan,Brazil,2024-08-02T09:00:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool E (#29),HORL/HORST,SCHACHTER/DEARING,2024-08-02T09:00:00.000+00:00,
Diving,Men's Synchronised 3m Springboard Final,,,2024-08-02T09:00:00.000+00:00,medal match
Handball,Men's Preliminary Round Group B (#20),Argentina,France,2024-08-02T09:00:00.000+00:00,
Swimming,Men's 100m Butterfly - Heats,,,2024-08-02T09:00:00.000+00:00,
Swimming,Women's 200m Individual Medley - Heats,,,,
Swimming,Women's 800m Freestyle - Heats,,,,
Swimming,Mixed 4 x 100m Medley Relay - Heats,,,,
Table Tennis,Men's Singles Semifinal,,,2024-08-02T09:00:00.000+00:00,
Athletics,Men's 1500m Round 1,,,2024-08-02T09:05:00.000+00:00,
Athletics,Men's Hammer Throw Qualification - Group B,,,2024-08-02T09:35:00.000+00:00,
Athletics,Women's 100m Round 1,,,2024-08-02T09:50:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool C (#27),VIEIRA/CHAMEREAU,HERMANNOVA/STOCHLOVA,2024-08-02T10:00:00.000+00:00,
Shooting,25m Pistol Women's Qualification Rapid,,,2024-08-02T10:00:00.000+00:00,
Trampoline Gymnastics,Women's Qualification,,,2024-08-02T10:00:00.000+00:00,
Athletics,Men's Decathlon Shot Put,,,2024-08-02T10:15:00.000+00:00,
3x3 Basketball,Women's Pool Round (#37),Australia,Spain,2024-08-02T10:30:00.000+00:00,
Hockey,Women's Pool A (#W24),Belgium,Netherlands,2024-08-02T10:45:00.000+00:00,
3x3 Basketball,Women's Pool Round (#38),United States,France,2024-08-02T11:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool B (#14),Brazil,Egypt,2024-08-02T11:00:00.000+00:00,
Hockey,Men's Pool B (#M26),Australia,India,2024-08-02T11:15:00.000+00:00,
Basketball,Men's Group Phase - Group A (#26),Australia,Greece,2024-08-02T11:30:00.000+00:00,
Table Tennis,Women's Singles Semifinal,,,2024-08-02T11:30:00.000+00:00,
3x3 Basketball,Men's Pool Round (#39),Netherlands,Lithuania,2024-08-02T11:35:00.000+00:00,
Trampoline Gymnastics,Women's Final,,,2024-08-02T11:50:00.000+00:00,medal match
Equestrian,Jumping Team Final,,,2024-08-02T12:00:00.000+00:00,medal match
Handball,Men's Preliminary Round Group A (#21),Croatia,Sweden,2024-08-02T12:00:00.000+00:00,
Water Polo,Women's Preliminary Round - Group A (#13),Australia,Canada,2024-08-02T12:00:00.000+00:00,
3x3 Basketball,Men's Pool Round (#40),France,Latvia,2024-08-02T12:05:00.000+00:00,
Table Tennis,Men's Singles Semifinal,,,2024-08-02T12:30:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool F (#30),HERRERA/GAVIRA,EVANS/BUDINGER,2024-08-02T13:00:00.000+00:00,
Football,Men's Quarter-final (#26),1B,2A,2024-08-02T13:00:00.000+00:00,
Canoe Slalom,Men's Kayak Cross Time Trial,,,2024-08-02T13:30:00.000+00:00,
Water Polo,Women's Preliminary Round - Group B (#14),Greece,Italy,2024-08-02T13:35:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool F (#36),KROU/GAUTHIER-RAT,BOERMANS/DE GROOT,2024-08-02T14:00:00.000+00:00,
Handball,Men's Preliminary Round Group A (#22),Germany,Spain,2024-08-02T14:00:00.000+00:00,
Archery,Mixed Team Bronze Medal Match (#143),,,2024-08-02T14:24:00.000+00:00,
Canoe Slalom,Women's Kayak Cross Time Trial,,,2024-08-02T14:40:00.000+00:00,
Archery,Mixed Team Gold Medal Match (#144),,,2024-08-02T14:43:00.000+00:00,medal match
Beach Volleyball,Women's Preliminary Phase - Pool E (#35),CAROL/BARBARA,STAM/SCHOON,2024-08-02T15:00:00.000+00:00,
Football,Men's Quarter-final (#28),1D,2C,2024-08-02T15:00:00.000+00:00,
Hockey,Men's Pool B (#M27),New Zealand,Ireland,2024-08-02T15:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool A (#15),France,Slovenia,2024-08-02T15:00:00.000+00:00,
Basketball,Men's Group Phase - Group A (#27),Canada,Spain,2024-08-02T15:15:00.000+00:00,
3x3 Basketball,Women's Pool Round (#41),Azerbaijan,China,2024-08-02T15:30:00.000+00:00,
Hockey,Men's Pool B (#M28),Belgium,Argentina,2024-08-02T15:30:00.000+00:00,
3x3 Basketball,Women's Pool Round (#42),United States,Canada,2024-08-02T16:00:00.000+00:00,
Athletics,Men's Decathlon High Jump,,,2024-08-02T16:00:00.000+00:00,
Trampoline Gymnastics,Men's Qualification,,,2024-08-02T16:00:00.000+00:00,
Athletics,Women's 5000m Round 1,,,2024-08-02T16:10:00.000+00:00,
Athletics,Women's Triple Jump Qualification,,,2024-08-02T16:15:00.000+00:00,
Water Polo,Women's Preliminary Round - Group B (#15),United States,France,2024-08-02T16:30:00.000+00:00,
3x3 Basketball,Men's Pool Round (#43),France,United States,2024-08-02T16:35:00.000+00:00,
Athletics,Women's Discus Throw Qualification - Group A,,,2024-08-02T16:55:00.000+00:00,
Football,Men's Quarter-final (#27),1C,2D,2024-08-02T17:00:00.000+00:00,
Handball,Men's Preliminary Round Group A (#23),Japan,Slovenia,2024-08-02T17:00:00.000+00:00,
Tennis,Mixed Doubles Gold Medal Match,,,2024-08-02T17:00:00.000+00:00,medal match
3x3 Basketball,Men's Pool Round (#44),Latvia,Serbia,2024-08-02T17:05:00.000+00:00,
Athletics,4 x 400m Relay Mixed Round 1,,,2024-08-02T17:10:00.000+00:00,
Athletics,Women's 800m Round 1,,,2024-08-02T17:45:00.000+00:00,
Hockey,Men's Pool A (#M29),France,South Africa,2024-08-02T17:45:00.000+00:00,
Trampoline Gymnastics,Men's Final,,,2024-08-02T17:50:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool B (#32),MOL/SORUM,VAN DE VELDE/IMMERS,2024-08-02T18:00:00.000+00:00,
Water Polo,Women's Preliminary Round - Group A (#16),China,Hungary,2024-08-02T18:05:00.000+00:00,
Athletics,Men's Shot Put Qualification,,,2024-08-02T18:10:00.000+00:00,
Hockey,Men's Pool A (#M30),Great Britain,Germany,2024-08-02T18:15:00.000+00:00,
Athletics,Women's Discus Throw Qualification - Group B,,,2024-08-02T18:20:00.000+00:00,
Swimming,Men's 50m Freestyle Final,,,2024-08-02T18:30:00.000+00:00,medal match
Swimming,Women's 200m Backstroke Final,,,2024-08-02T18:36:00.000+00:00,medal match
Swimming,Men's 200m Individual Medley Final,,,2024-08-02T18:43:00.000+00:00,medal match
Athletics,Men's Decathlon 400m,,,2024-08-02T18:50:00.000+00:00,
3x3 Basketball,Women's Pool Round (#45),Canada,Spain,2024-08-02T19:00:00.000+00:00,
Basketball,Men's Group Phase - Group B (#28),France,Germany,2024-08-02T19:00:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool E (#35),PERUSIC/SCHWEINER,EVANDRO/ARTHUR,2024-08-02T19:00:00.000+00:00,
Football,Men's Quarter-final (#25),1A,2B,2024-08-02T19:00:00.000+00:00,
Handball,Men's Preliminary Round Group B (#24),Norway,Egypt,2024-08-02T19:00:00.000+00:00,
Swimming,Men's 100m Butterfly Semifinals,,,2024-08-02T19:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool C (#16),Japan,United States,2024-08-02T19:00:00.000+00:00,
Athletics,"Men's 10,000m Final",,,2024-08-02T19:20:00.000+00:00,medal match
Swimming,Women's 200m Individual Medley Semifinals,,,2024-08-02T19:22:00.000+00:00,
3x3 Basketball,Women's Pool Round (#46),France,Germany,2024-08-02T19:30:00.000+00:00,
Cycling BMX Racing,"Men, Final",,,2024-08-02T19:35:00.000+00:00,medal match
Cycling BMX Racing,"Women, Final",,,2024-08-02T19:50:00.000+00:00,medal match
Beach Volleyball,Women's Preliminary Phase - Pool C (#33),HUGHES/CHENG,MULLER/TILLMANN,2024-08-02T20:00:00.000+00:00,
3x3 Basketball,Men's Pool Round (#47),Serbia,Poland,2024-08-02T20:05:00.000+00:00,
