Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Beach Volleyball,Men's Preliminary Phase - Pool A (#19),COTTAFAVA/NICOLAI,NICOLAIDIS/CARRACHER,2024-07-29T07:00:00.000+00:00,
Handball,Men's Preliminary Round Group A (#7),Japan,Germany,2024-07-29T07:00:00.000+00:00,
Shooting,Trap Men's Qualification - Day 1,,,2024-07-29T07:00:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool C (#3),Türkiye,Netherlands,2024-07-29T07:00:00.000+00:00,
Shooting,10m Air Pistol Mixed Team Qualification,,,2024-07-29T07:15:00.000+00:00,
Shooting,10m Air Rifle Women's Final,,,2024-07-29T07:30:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool F (#12),BOERMANS/DE GROOT,HERRERA/GAVIRA,2024-07-29T08:00:00.000+00:00,
Hockey,Men's Pool B (#M11),Ireland,Australia,2024-07-29T08:00:00.000+00:00,
Rowing,Men's Pair Repechages,,,2024-07-29T08:20:00.000+00:00,
Hockey,Women's Pool A (#W07),Japan,China,2024-07-29T08:30:00.000+00:00,
Rowing,Women's Pair Repechages,,,2024-07-29T08:30:00.000+00:00,
Rowing,Lightweight Men's Double Sculls Repechages,,,2024-07-29T08:40:00.000+00:00,
Basketball,Women's Group Phase - Group B (#9),Nigeria,Australia,2024-07-29T09:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool B (#20),XUE/X.Y.XIA,BANSLEY/BUKOVEC,2024-07-29T09:00:00.000+00:00,
Diving,Men's Synchronised 10m Platform Final,,,2024-07-29T09:00:00.000+00:00,medal match
Equestrian,Eventing Individual Jumping Qualifier,,,2024-07-29T09:00:00.000+00:00,
Equestrian,Eventing Team Jumping Final,,,2024-07-29T09:00:00.000+00:00,medal match
Handball,Men's Preliminary Round Group A (#8),Slovenia,Croatia,2024-07-29T09:00:00.000+00:00,
Rowing,Lightweight Women's Double Sculls Repechages,,,2024-07-29T09:00:00.000+00:00,
Swimming,Women's 400m Individual Medley - Heats,,,2024-07-29T09:00:00.000+00:00,
Swimming,Women's 100m Backstroke - Heats,,,,
Swimming,Men's 800m Freestyle - Heats,,,,
Rowing,Men's Quadruple Sculls Repechages,,,2024-07-29T09:20:00.000+00:00,
Rowing,Women's Quadruple Sculls Repechages,,,2024-07-29T09:30:00.000+00:00,
Rowing,Men's Eight Heats,,,2024-07-29T09:40:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool F (#12),HUBERLI/BRUNNER,ALVAREZ M/MORENO,2024-07-29T10:00:00.000+00:00,
Rowing,Women's Eight Heats,,,2024-07-29T10:00:00.000+00:00,
Shooting,10m Air Rifle Men's Final,,,2024-07-29T10:00:00.000+00:00,medal match
Hockey,Men's Pool B (#M12),India,Argentina,2024-07-29T10:45:00.000+00:00,
