Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Athletics,Men's 4 x 400m Relay Round 1,,,2024-08-09T09:05:00.000+00:00,
Rhythmic Gymnastics,Group All-Around Qualification - Part 2 of 2,,,2024-08-09T09:16:00.000+00:00,
Athletics,Women's Heptathlon Javelin Throw - Group A,,,2024-08-09T09:20:00.000+00:00,
Athletics,Men's 800m Semi-Final,,,2024-08-09T09:30:00.000+00:00,
Athletics,Women's 100m Hurdles Semi-Final,,,2024-08-09T10:05:00.000+00:00,
Athletics,Women's Heptathlon Javelin Throw - Group B,,,2024-08-09T10:30:00.000+00:00,
Sport Climbing,"Men's Boulder & Lead, Final Lead",,,2024-08-09T10:35:00.000+00:00,medal match
Water Polo,Men's Classification 5th-8th,,,2024-08-09T11:00:00.000+00:00,
Cycling Track,"Women's Sprint, Qualifying",,,2024-08-09T12:00:00.000+00:00,
Hockey,Women's Bronze Medal Match (#W37),,,2024-08-09T12:00:00.000+00:00,
Rhythmic Gymnastics,Individual All-Around Final,,,2024-08-09T12:30:00.000+00:00,medal match
Water Polo,Men's Semifinal,,,2024-08-09T12:35:00.000+00:00,
Cycling Track,"Women's Sprint, 1/32 Finals",,,2024-08-09T12:48:00.000+00:00,
Diving,Women's 3m Springboard Final,,,2024-08-09T13:00:00.000+00:00,medal match
Football,Women's Bronze Medal Match (#25),Runner-up 23,Runner-up 24,2024-08-09T13:00:00.000+00:00,
Table Tennis,Men's Team Gold Medal Team Match,,,2024-08-09T13:00:00.000+00:00,medal match
Weightlifting,Men's 89kg,,,2024-08-09T13:00:00.000+00:00,medal match
Cycling Track,"Women's Sprint, 1/32 Finals Repechages",,,2024-08-09T13:38:00.000+00:00,
Breaking,B-Girls Pre-Qualifier Battle,,,2024-08-09T14:00:00.000+00:00,
Volleyball,Men's Bronze Medal Match (#25),,,2024-08-09T14:00:00.000+00:00,
Handball,Men's Semifinal,,,2024-08-09T14:30:00.000+00:00,
Basketball,Women's Semifinal,,,2024-08-09T15:30:00.000+00:00,
Football,Men's Gold Medal Match (#32),Winner 29,Winner 30,2024-08-09T16:00:00.000+00:00,medal match
Water Polo,Men's Classification 5th-8th,,,2024-08-09T16:00:00.000+00:00,
Cycling Track,"Women's Madison, Final",,,2024-08-09T16:09:00.000+00:00,medal match
Cycling Track,"Women's Sprint, 1/16 Finals",,,2024-08-09T17:10:00.000+00:00,
Artistic Swimming,Duet Technical Routine,,,2024-08-09T17:30:00.000+00:00,
Athletics,Women's 4 x 100m Relay Final,,,2024-08-09T17:30:00.000+00:00,medal match
Weightlifting,Women's 71kg,,,2024-08-09T17:30:00.000+00:00,medal match
Water Polo,Men's Semifinal,,,2024-08-09T17:35:00.000+00:00,
Athletics,Women's Shot Put Final,,,2024-08-09T17:40:00.000+00:00,medal match
Athletics,Men's 4 x 100m Relay Final,,,2024-08-09T17:45:00.000+00:00,medal match
Cycling Track,"Women's Sprint, 1/16 Finals Repechages",,,2024-08-09T17:58:00.000+00:00,
Athletics,Women's 400m Final,,,2024-08-09T18:00:00.000+00:00,medal match
Hockey,Women's Gold Medal Match (#W38),,,2024-08-09T18:00:00.000+00:00,medal match
Athletics,Men's Triple Jump Final,,,2024-08-09T18:10:00.000+00:00,medal match
Athletics,Women's Heptathlon 800m,,,2024-08-09T18:15:00.000+00:00,medal match
Athletics,"Women's 10,000m Final",,,2024-08-09T18:55:00.000+00:00,medal match
Basketball,Women's Semifinal,,,2024-08-09T19:00:00.000+00:00,
Beach Volleyball,Women's Bronze Medal Match,,,2024-08-09T19:00:00.000+00:00,
Taekwondo,Women -67kg Gold Medal Contest,,,2024-08-09T19:19:00.000+00:00,medal match
Boxing,Men's 71kg - Final,,,2024-08-09T19:30:00.000+00:00,medal match
Handball,Men's Semifinal,,,2024-08-09T19:30:00.000+00:00,
Taekwondo,Men -80kg Gold Medal Contest,,,2024-08-09T19:37:00.000+00:00,medal match
Athletics,Men's 400m Hurdles Final,,,2024-08-09T19:45:00.000+00:00,medal match
Boxing,Women's 50kg - Final,,,2024-08-09T19:47:00.000+00:00,medal match
Boxing,Men's 92kg - Final,,,2024-08-09T20:16:00.000+00:00,medal match
Beach Volleyball,Women's Gold Medal Match,,,2024-08-09T20:30:00.000+00:00,medal match
Boxing,Women's 66kg - Final,,,2024-08-09T20:51:00.000+00:00,medal match
Athletics,Men's Marathon,,,2024-08-10T06:00:00.000+00:00,medal match
Golf,Women's Individual Stroke Play Round 4,,,2024-08-10T07:00:00.000+00:00,medal match
Taekwondo,Men +80kg Qualification Contest,,,2024-08-10T07:00:00.000+00:00,
Water Polo,Women's Classification 7th-8th (#29),Loser 25,Loser 26,2024-08-10T07:00:00.000+00:00,
Diving,Men's 10m Platform Semifinal,,,2024-08-10T08:00:00.000+00:00,
Handball,Women's Bronze Medal Match (#37),Loser 35,Loser 36,2024-08-10T08:00:00.000+00:00,
Table Tennis,Women's Team Bronze Medal Team Match,,,2024-08-10T08:00:00.000+00:00,
Sport Climbing,"Women's Boulder & Lead, Final Boulder",,,2024-08-10T08:15:00.000+00:00,
Water Polo,Women's Bronze Medal Match (#31),Loser 27,Loser 28,2024-08-10T08:35:00.000+00:00,
Basketball,Men's Bronze Medal Game (#49),,,2024-08-10T09:00:00.000+00:00,
Weightlifting,Men's 102kg,,,2024-08-10T09:30:00.000+00:00,medal match
Sport Climbing,"Women's Boulder & Lead, Final Lead",,,2024-08-10T10:35:00.000+00:00,medal match
Volleyball,Men's Gold Medal Match (#26),,,2024-08-10T11:00:00.000+00:00,medal match
Rhythmic Gymnastics,Group All-Around Final,,,2024-08-10T12:00:00.000+00:00,medal match
Water Polo,Women's Classification 5th-6th (#30),Winner 25,Winner 26,2024-08-10T12:00:00.000+00:00,
Diving,Men's 10m Platform Final,,,2024-08-10T13:00:00.000+00:00,medal match
Handball,Women's Gold Medal Match (#38),Winner 35,Winner 36,2024-08-10T13:00:00.000+00:00,medal match
Table Tennis,Women's Team Gold Medal Team Match,,,2024-08-10T13:00:00.000+00:00,medal match
Water Polo,Women's Gold Medal Match (#32),Winner 27,Winner 28,2024-08-10T13:35:00.000+00:00,medal match
Weightlifting,Women's 81kg,,,2024-08-10T14:00:00.000+00:00,medal match
Cycling Track,"Women's Sprint, 1/8 Finals",,,2024-08-10T15:00:00.000+00:00,
Football,Women's Gold Medal Match (#26),Winner 23,Winner 24,2024-08-10T15:00:00.000+00:00,medal match
Volleyball,Women's Bronze Medal Match (#25),,,2024-08-10T15:15:00.000+00:00,
Cycling Track,"Men's Keirin, First Round",,,2024-08-10T15:19:00.000+00:00,
Cycling Track,"Women's Sprint, 1/8 Final Repechages",,,2024-08-10T15:50:00.000+00:00,
Cycling Track,"Men's Madison, Final",,,2024-08-10T15:59:00.000+00:00,medal match
Athletics,Men's High Jump Final,,,2024-08-10T17:10:00.000+00:00,medal match
Cycling Track,"Men's Keirin, Repechages",,,2024-08-10T17:21:00.000+00:00,
Athletics,Men's 800m Final,,,2024-08-10T17:25:00.000+00:00,medal match
Artistic Swimming,Duet Free Routine,,,2024-08-10T17:30:00.000+00:00,medal match
Water Polo,Men's Classification 7th-8th (#39),Loser 35,Loser 36,2024-08-10T17:35:00.000+00:00,
Athletics,Women's Javelin Throw Final,,,2024-08-10T17:40:00.000+00:00,medal match
Athletics,Women's 100m Hurdles Final,,,2024-08-10T17:45:00.000+00:00,medal match
Athletics,Men's 5000m Final,,,2024-08-10T18:00:00.000+00:00,medal match
Athletics,Women's 1500m Final,,,2024-08-10T18:25:00.000+00:00,medal match
Weightlifting,Men's +102kg,,,2024-08-10T18:30:00.000+00:00,medal match
Beach Volleyball,Men's Bronze Medal Match,,,2024-08-10T19:00:00.000+00:00,
Athletics,Men's 4 x 400m Relay Final,,,2024-08-10T19:12:00.000+00:00,medal match
Taekwondo,Men +80kg Gold Medal Contest,,,2024-08-10T19:19:00.000+00:00,medal match
Athletics,Women's 4 x 400m Relay Final,,,2024-08-10T19:22:00.000+00:00,medal match
Basketball,Men's Gold Medal Game (#50),,,2024-08-10T19:30:00.000+00:00,medal match
Boxing,Women's 57kg - Final,,,2024-08-10T19:30:00.000+00:00,medal match
Taekwondo,Women +67kg Gold Medal Contest,,,2024-08-10T19:37:00.000+00:00,medal match
Boxing,Men's 57kg - Final,,,2024-08-10T19:47:00.000+00:00,medal match
Boxing,Women's 75kg - Final,,,2024-08-10T20:16:00.000+00:00,medal match
Beach Volleyball,Men's Gold Medal Match,,,2024-08-10T20:30:00.000+00:00,medal match
Boxing,Men's +92kg - Final,,,2024-08-10T20:51:00.000+00:00,medal match
