Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Triathlon,Men's Individual,,,2024-07-30T06:00:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool C (#9),BRYL/LOSIAK,HODGES/SCHUBERT,2024-07-30T07:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#13),Germany,Slovenia,2024-07-30T07:00:00.000+00:00,
Shooting,Trap Men's Qualification - Day 2,,,2024-07-30T07:00:00.000+00:00,
Shooting,Trap Women's Qualification - Day 1,,,2024-07-30T07:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool B (#7),Italy,Egypt,2024-07-30T07:00:00.000+00:00,
Rowing,Women's Single Sculls Quarterfinals,,,2024-07-30T07:30:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool C (#3),EHLERS/WICKLER,BASSEREAU/LYNEEL,2024-07-30T08:00:00.000+00:00,
Hockey,Men's Pool A (#M13),Spain,France,2024-07-30T08:00:00.000+00:00,
Rowing,Men's Single Sculls Quarterfinals,,,2024-07-30T08:10:00.000+00:00,
Hockey,Men's Pool A (#M14),South Africa,Germany,2024-07-30T08:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#7),Australia,Serbia,2024-07-30T08:30:00.000+00:00,
Basketball,Men's Group Phase - Group A (#13),Spain,Greece,2024-07-30T09:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool A (#19),GOTTARDI/MENEGATTI,MARWA/D. ELGHOBASHY,2024-07-30T09:00:00.000+00:00,
Equestrian,Dressage Team Grand Prix Day 1,,,2024-07-30T09:00:00.000+00:00,
Equestrian,Dressage Individual Grand Prix Day 1,,,2024-07-30T09:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#14),Norway,Korea,2024-07-30T09:00:00.000+00:00,
Swimming,Men's 200m Butterfly - Heats,,,2024-07-30T09:00:00.000+00:00,
Swimming,Men's 100m Freestyle - Heats,,,,
Swimming,Women's 1500m Freestyle - Heats,,,,
Swimming,Women's 100m Freestyle - Heats,,,,
Swimming,Men's 200m Breaststroke - Heats,,,,
Swimming,Men's 4 x 200m Freestyle Relay - Heats,,,,
Rowing,Women's Four Repechages,,,2024-07-30T09:30:00.000+00:00,
Rowing,Men's Four Repechages,,,2024-07-30T09:40:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool D (#16),GEORGE/ANDRE,DIAZ/ALAYO,2024-07-30T10:00:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#8),Croatia,Italy,2024-07-30T10:05:00.000+00:00,
Hockey,Men's Pool A (#M15),Great Britain,Netherlands,2024-07-30T10:45:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool C (#8),United States,Germany,2024-07-30T11:00:00.000+00:00,
Hockey,Men's Pool B (#M16),Ireland,India,2024-07-30T11:15:00.000+00:00,
Cycling BMX Freestyle,Women's Park Qualification,,,2024-07-30T11:25:00.000+00:00,
Basketball,Men's Group Phase - Group A (#14),Canada,Australia,2024-07-30T11:30:00.000+00:00,
Table Tennis,Mixed Doubles Bronze Medal Match,,,2024-07-30T11:30:00.000+00:00,
Handball,Women's Preliminary Round Group B (#15),Netherlands,Spain,2024-07-30T12:00:00.000+00:00,
Rugby Sevens,Women's Placing 5-8 (#W25),Loser W21,Loser W22,2024-07-30T12:30:00.000+00:00,
Table Tennis,Mixed Doubles Gold Medal Match,,,2024-07-30T12:30:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool D (#22),PARTAIN/BENESH,ABICHA/ELGRAOUI,2024-07-30T13:00:00.000+00:00,
Football,Men's Group C (#21),Dominican Republic,Uzbekistan,2024-07-30T13:00:00.000+00:00,
Football,Men's Group C (#22),Spain,Egypt,2024-07-30T13:00:00.000+00:00,
Rugby Sevens,Women's Placing 5-8 (#W26),Loser W23,Loser W24,2024-07-30T13:00:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#9),Japan,France,2024-07-30T13:00:00.000+00:00,
Cycling BMX Freestyle,Men's Park Qualification,,,2024-07-30T13:11:45.000+00:00,
Rugby Sevens,Women's Semi-final (#W27),Winner W21,Winner W22,2024-07-30T13:30:00.000+00:00,
Shooting,Trap Men's Final,,,2024-07-30T13:30:00.000+00:00,medal match
Beach Volleyball,Women's Preliminary Phase - Pool E (#17),CAROL/BARBARA,PAULIKIENE/RAUPELYTE,2024-07-30T14:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#16),Hungary,Angola,2024-07-30T14:00:00.000+00:00,
Rugby Sevens,Women's Semi-final (#W28),Winner W23,Winner W24,2024-07-30T14:00:00.000+00:00,
Rugby Sevens,Women's Placing 11-12 (#W29),Loser W19,Loser W20,2024-07-30T14:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#10),United States,Romania,2024-07-30T14:35:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool F (#18),KROU/GAUTHIER-RAT,HERRERA/GAVIRA,2024-07-30T15:00:00.000+00:00,
Football,Men's Group B (#19),Ukraine,Argentina,2024-07-30T15:00:00.000+00:00,
Football,Men's Group B (#20),Morocco,Iraq,2024-07-30T15:00:00.000+00:00,
Hockey,Men's Pool B (#M17),Argentina,New Zealand,2024-07-30T15:00:00.000+00:00,
Rugby Sevens,Women's Placing 9-10 (#W30),Winner W19,Winner W20,2024-07-30T15:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool A (#9),Slovenia,Serbia,2024-07-30T15:00:00.000+00:00,
Basketball,Men's Group Phase - Group B (#15),Japan,France,2024-07-30T15:15:00.000+00:00,
3x3 Basketball,Women's Pool Round (#1),Germany,United States,2024-07-30T15:30:00.000+00:00,
3x3 Basketball,Women's Pool Round (#2),Australia,Canada,2024-07-30T16:00:00.000+00:00,
Rugby Sevens,Women's Placing 7-8 (#W31),Loser W25,Loser W26,2024-07-30T16:00:00.000+00:00,
Artistic Gymnastics,Women's Team Final,,,2024-07-30T16:15:00.000+00:00,medal match
Rugby Sevens,Women's Placing 5-6 (#W32),Winner W25,Winner W26,2024-07-30T16:30:00.000+00:00,
3x3 Basketball,Men's Pool Round (#3),Latvia,Lithuania,2024-07-30T16:35:00.000+00:00,
Football,Men's Group A (#17),New Zealand,France,2024-07-30T17:00:00.000+00:00,
Football,Men's Group A (#18),United States,Guinea,2024-07-30T17:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#17),France,Brazil,2024-07-30T17:00:00.000+00:00,
Rugby Sevens,Women's Bronze Medal Match (#W33),Loser W27,Loser W28,2024-07-30T17:00:00.000+00:00,
3x3 Basketball,Men's Pool Round (#4),China,Netherlands,2024-07-30T17:05:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#11),Montenegro,Greece,2024-07-30T17:30:00.000+00:00,
Hockey,Men's Pool B (#M18),Australia,Belgium,2024-07-30T17:45:00.000+00:00,
Rugby Sevens,Women's Gold Medal Match (#W34),Winner W27,Winner W28,2024-07-30T17:45:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool F (#24),BOERMANS/DE GROOT,EVANS/BUDINGER,2024-07-30T18:00:00.000+00:00,
Swimming,Men's 100m Freestyle Semifinals,,,2024-07-30T18:30:00.000+00:00,
Swimming,Men's 200m Butterfly Semifinals,,,2024-07-30T18:42:00.000+00:00,
Swimming,Women's 100m Backstroke Final,,,2024-07-30T18:56:00.000+00:00,medal match
3x3 Basketball,Women's Pool Round (#5),Spain,Azerbaijan,2024-07-30T19:00:00.000+00:00,
Basketball,Men's Group Phase - Group B (#16),Brazil,Germany,2024-07-30T19:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool A (#13),ANA PATRICIA/DUDA,LILIANA/PAULA,2024-07-30T19:00:00.000+00:00,
Football,Men's Group D (#23),Israel,Japan,2024-07-30T19:00:00.000+00:00,
Football,Men's Group D (#24),Paraguay,Mali,2024-07-30T19:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#18),Sweden,Denmark,2024-07-30T19:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool A (#10),France,Canada,2024-07-30T19:00:00.000+00:00,
Swimming,Men's 800m Freestyle Final,,,2024-07-30T19:02:00.000+00:00,medal match
Water Polo,Men's Preliminary Round - Group B (#12),Spain,Hungary,2024-07-30T19:05:00.000+00:00,
Swimming,Women's 100m Freestyle Semifinals,,,2024-07-30T19:25:00.000+00:00,
3x3 Basketball,Women's Pool Round (#6),France,China,2024-07-30T19:30:00.000+00:00,
Swimming,Men's 200m Breaststroke Semifinals,,,2024-07-30T19:47:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool E (#23),STAM/SCHOON,AKIKO/ISHII,2024-07-30T20:00:00.000+00:00,
Swimming,Men's 4 x 200m Freestyle Relay Final,,,2024-07-30T20:01:00.000+00:00,medal match
3x3 Basketball,Men's Pool Round (#7),Poland,France,2024-07-30T20:05:00.000+00:00,
3x3 Basketball,Men's Pool Round (#8),Serbia,United States,2024-07-30T20:35:00.000+00:00,
Surfing,Men's Bronze Medal Match,,,2024-07-31T00:12:00.000+00:00,
Surfing,Women's Bronze Medal Match,,,2024-07-31T00:53:00.000+00:00,
Surfing,Men's Gold Medal Match,,,2024-07-31T01:34:00.000+00:00,medal match
Surfing,Women's Gold Medal Match,,,2024-07-31T02:15:00.000+00:00,medal match
