Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Volleyball,Women's Quarterfinals,,,2024-08-06T07:00:00.000+00:00,
Canoe Sprint,Men's Kayak Four 500m Heats,,,2024-08-06T07:30:00.000+00:00,
Handball,Women's Quarterfinal,,,2024-08-06T07:30:00.000+00:00,
Canoe Sprint,Women's Kayak Four 500m Heats,,,2024-08-06T08:00:00.000+00:00,
Diving,Men's 3m Springboard Preliminary,,,2024-08-06T08:00:00.000+00:00,
Equestrian,Jumping Individual Final,,,2024-08-06T08:00:00.000+00:00,medal match
Sport Climbing,"Women's Boulder & Lead, Semifinal Boulder",,,2024-08-06T08:00:00.000+00:00,
Athletics,Women's 1500m Round 1,,,2024-08-06T08:05:00.000+00:00,
Athletics,Men's Javelin Throw Qualification - Group A,,,2024-08-06T08:20:00.000+00:00,
Canoe Sprint,Men's Canoe Double 500m Heats,,,2024-08-06T08:30:00.000+00:00,
Athletics,Men's 110m Hurdles Repechage Round,,,2024-08-06T08:50:00.000+00:00,
Basketball,Men's Quarterfinal,,,2024-08-06T09:00:00.000+00:00,
Canoe Sprint,Women's Canoe Double 500m Heats,,,2024-08-06T09:00:00.000+00:00,
Athletics,Women's Long Jump Qualification,,,2024-08-06T09:15:00.000+00:00,
Athletics,Women's 400m Repechage Round,,,2024-08-06T09:20:00.000+00:00,
Canoe Sprint,Men's Kayak Double 500m Heats,,,2024-08-06T09:30:00.000+00:00,
Athletics,Men's Javelin Throw Qualification - Group B,,,2024-08-06T09:50:00.000+00:00,
Athletics,Men's 400m Hurdles Repechage Round,,,2024-08-06T10:00:00.000+00:00,
Canoe Sprint,Women's Kayak Double 500m Heats,,,2024-08-06T10:10:00.000+00:00,
Athletics,Men's 200m Repechage Round,,,2024-08-06T10:30:00.000+00:00,
Skateboarding,Women's Park Prelims,,,2024-08-06T10:30:00.000+00:00,
Sport Climbing,"Men's Speed, Qualification Seeding",,,2024-08-06T11:00:00.000+00:00,
Volleyball,Women's Quarterfinals,,,2024-08-06T11:00:00.000+00:00,
Canoe Sprint,Men's Kayak Four 500m Quarterfinals,,,2024-08-06T11:10:00.000+00:00,
Canoe Sprint,Women's Canoe Double 500m Quarterfinals,,,2024-08-06T11:20:00.000+00:00,
Handball,Women's Quarterfinal,,,2024-08-06T11:30:00.000+00:00,
Sport Climbing,"Men's Speed, Qualification Elimination heats",,,2024-08-06T11:35:00.000+00:00,
Canoe Sprint,Men's Canoe Double 500m Quarterfinals,,,2024-08-06T11:50:00.000+00:00,
Hockey,Men's Semi-final,,,2024-08-06T12:00:00.000+00:00,
Water Polo,Women's Quarterfinal,,,2024-08-06T12:00:00.000+00:00,
Canoe Sprint,Women's Kayak Double 500m Quarterfinals,,,2024-08-06T12:10:00.000+00:00,
Basketball,Men's Quarterfinal,,,2024-08-06T12:30:00.000+00:00,
Canoe Sprint,Men's Kayak Double 500m Quarterfinals,,,2024-08-06T12:30:00.000+00:00,
Sailing,Women's Dinghy Medal Race,,,2024-08-06T12:43:00.000+00:00,medal match
Diving,Women's 10m Platform Final,,,2024-08-06T13:00:00.000+00:00,medal match
Water Polo,Women's Quarterfinal,,,2024-08-06T13:35:00.000+00:00,
Sailing,Men's Dinghy Medal Race,,,2024-08-06T13:43:00.000+00:00,medal match
Volleyball,Women's Quarterfinals,,,2024-08-06T15:00:00.000+00:00,
Cycling Track,"Women's Team Pursuit, Qualifying",,,2024-08-06T15:30:00.000+00:00,
Handball,Women's Quarterfinal,,,2024-08-06T15:30:00.000+00:00,
Skateboarding,Women's Park Final,,,2024-08-06T15:30:00.000+00:00,medal match
Basketball,Men's Quarterfinal,,,2024-08-06T16:00:00.000+00:00,
Football,Women's Semi-final (#24),Winner 20,Winner 22,2024-08-06T16:00:00.000+00:00,
Cycling Track,"Men's Team Sprint, First Round",,,2024-08-06T16:59:00.000+00:00,
Hockey,Men's Semi-final,,,2024-08-06T17:00:00.000+00:00,
Water Polo,Women's Quarterfinal,,,2024-08-06T17:00:00.000+00:00,
Cycling Track,"Men's Team Pursuit, First Round",,,2024-08-06T17:14:00.000+00:00,
Artistic Swimming,Team Free Routine,,,2024-08-06T17:30:00.000+00:00,
Athletics,Men's 400m Semi-Final,,,2024-08-06T17:35:00.000+00:00,
Athletics,Women's Hammer Throw Final,,,2024-08-06T17:55:00.000+00:00,medal match
Athletics,Women's 400m Hurdles Semi-Final,,,2024-08-06T18:07:00.000+00:00,
Athletics,Men's Long Jump Final,,,2024-08-06T18:15:00.000+00:00,medal match
Water Polo,Women's Quarterfinal,,,2024-08-06T18:35:00.000+00:00,
Athletics,Men's 1500m Final,,,2024-08-06T18:50:00.000+00:00,medal match
Football,Women's Semi-final (#23),Winner 19,Winner 21,2024-08-06T19:00:00.000+00:00,
Volleyball,Women's Quarterfinals,,,2024-08-06T19:00:00.000+00:00,
Athletics,Women's 3000m Steeplechase Final,,,2024-08-06T19:10:00.000+00:00,medal match
Basketball,Men's Quarterfinal,,,2024-08-06T19:30:00.000+00:00,
Handball,Women's Quarterfinal,,,2024-08-06T19:30:00.000+00:00,
Athletics,Women's 200m Final,,,2024-08-06T19:40:00.000+00:00,medal match
Boxing,Women's 60kg - Final,,,2024-08-06T21:06:00.000+00:00,medal match
Athletics,Marathon Race Walk Relay Mixed,,,2024-08-07T05:30:00.000+00:00,medal match
Golf,Women's Individual Stroke Play Round 1,,,2024-08-07T07:00:00.000+00:00,
Taekwondo,Women -49kg Qualification Contest,,,2024-08-07T07:09:00.000+00:00,
Canoe Sprint,Women's Kayak Single 500m Heats,,,2024-08-07T07:30:00.000+00:00,
Handball,Men's Quarterfinal,,,2024-08-07T07:30:00.000+00:00,
Diving,Men's 3m Springboard Semifinal,,,2024-08-07T08:00:00.000+00:00,
Sport Climbing,"Men's Boulder & Lead, Semifinal Lead",,,2024-08-07T08:00:00.000+00:00,
Athletics,Men's High Jump Qualification,,,2024-08-07T08:05:00.000+00:00,
Athletics,Women's 100m Hurdles Round 1,,,2024-08-07T08:15:00.000+00:00,
Athletics,Women's Javelin Throw Qualification - Group A,,,2024-08-07T08:25:00.000+00:00,
Canoe Sprint,Men's Kayak Single 1000m Heats,,,2024-08-07T08:40:00.000+00:00,
Basketball,Women's Quarterfinal,,,2024-08-07T09:00:00.000+00:00,
Athletics,Men's 5000m Round 1,,,2024-08-07T09:10:00.000+00:00,
Canoe Sprint,Men's Canoe Single 1000m Heats,,,2024-08-07T09:40:00.000+00:00,
Athletics,Women's Javelin Throw Qualification - Group B,,,2024-08-07T09:50:00.000+00:00,
Athletics,Men's 800m Round 1,,,2024-08-07T09:55:00.000+00:00,
