Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Athletics,Men's 20km Race Walk,,,2024-08-01T05:30:00.000+00:00,medal match
3x3 Basketball,Women's Pool Round (#17),China,Australia,2024-08-01T07:00:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool C (#15),EHLERS/WICKLER,HODGES/SCHUBERT,2024-08-01T07:00:00.000+00:00,
Golf,Men's Individual Stroke Play Round 1,,,2024-08-01T07:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#19),Netherlands,Brazil,2024-08-01T07:00:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool C (#9),Türkiye,Dominican Republic,2024-08-01T07:00:00.000+00:00,
Athletics,Women's 20km Race Walk,,,2024-08-01T07:20:00.000+00:00,medal match
3x3 Basketball,Women's Pool Round (#18),Germany,Canada,2024-08-01T07:30:00.000+00:00,
Shooting,50m Rifle 3 Positions Men's Final,,,2024-08-01T07:30:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool A (#25),CHERIF/AHMED,NICOLAIDIS/CARRACHER,2024-08-01T08:00:00.000+00:00,
Hockey,Men's Pool B (#M21),India,Belgium,2024-08-01T08:00:00.000+00:00,
Table Tennis,Women's Singles Quarterfinal,,,2024-08-01T08:00:00.000+00:00,
3x3 Basketball,Men's Pool Round (#19),Netherlands,Serbia,2024-08-01T08:05:00.000+00:00,
Rowing,Women's Eight Repechages,,,2024-08-01T08:10:00.000+00:00,
Rowing,Men's Eight Repechages,,,2024-08-01T08:20:00.000+00:00,
Hockey,Men's Pool B (#M22),New Zealand,Australia,2024-08-01T08:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#13),Greece,United States,2024-08-01T08:30:00.000+00:00,
3x3 Basketball,Men's Pool Round (#20),China,Latvia,2024-08-01T08:35:00.000+00:00,
Basketball,Women's Group Phase - Group C (#21),Japan,Germany,2024-08-01T09:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool A (#25),LILIANA/PAULA,MARWA/D. ELGHOBASHY,2024-08-01T09:00:00.000+00:00,
Equestrian,Jumping Team Qualifier,,,2024-08-01T09:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#20),Korea,Sweden,2024-08-01T09:00:00.000+00:00,
Swimming,Women's 200m Backstroke - Heats,,,2024-08-01T09:00:00.000+00:00,
Swimming,Men's 50m Freestyle - Heats,,,,
Swimming,Men's 200m Individual Medley - Heats,,,,
Swimming,Women's 4 x 200m Freestyle Relay - Heats,,,,
Table Tennis,Men's Singles Quarterfinal,,,2024-08-01T09:00:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool D (#28),DIAZ/ALAYO,ABICHA/ELGRAOUI,2024-08-01T10:00:00.000+00:00,
Shooting,50m Rifle 3 Positions Women's Qualification,,,2024-08-01T10:00:00.000+00:00,
Table Tennis,Women's Singles Quarterfinal,,,2024-08-01T10:00:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#14),Serbia,Spain,2024-08-01T10:05:00.000+00:00,
3x3 Basketball,Women's Pool Round (#21),Azerbaijan,France,2024-08-01T10:30:00.000+00:00,
Boxing,Women's 54kg - Quarterfinal,,,2024-08-01T10:36:00.000+00:00,
Hockey,Men's Pool A (#M23),France,Great Britain,2024-08-01T10:45:00.000+00:00,
Boxing,Men's 63.5kg - Quarterfinal,,,2024-08-01T10:52:00.000+00:00,
3x3 Basketball,Women's Pool Round (#22),United States,Australia,2024-08-01T11:00:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool B (#10),Brazil,Japan,2024-08-01T11:00:00.000+00:00,
Boxing,Men's 92kg - Quarterfinal,,,2024-08-01T11:08:00.000+00:00,
Hockey,Men's Pool B (#M24),Argentina,Ireland,2024-08-01T11:15:00.000+00:00,
Basketball,Women's Group Phase - Group B (#22),Australia,Canada,2024-08-01T11:30:00.000+00:00,
3x3 Basketball,Men's Pool Round (#23),Lithuania,Poland,2024-08-01T11:35:00.000+00:00,
Handball,Women's Preliminary Round Group B (#21),Spain,Hungary,2024-08-01T12:00:00.000+00:00,
3x3 Basketball,Men's Pool Round (#24),Netherlands,France,2024-08-01T12:05:00.000+00:00,
Sailing,Men's Skiff Medal Race,,,2024-08-01T12:43:00.000+00:00,medal match
Beach Volleyball,Men's Preliminary Phase - Pool D (#34),GEORGE/ANDRE,PARTAIN/BENESH,2024-08-01T13:00:00.000+00:00,
