Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Golf,Men's Individual Stroke Play Round 4,,,2024-08-04T07:00:00.000+00:00,medal match
Handball,Men's Preliminary Round Group A (#25),Sweden,Japan,2024-08-04T07:00:00.000+00:00,
Shooting,25m Rapid Fire Pistol Men's Qualification - Stage 1,,,2024-08-04T07:00:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool C (#15),Italy,Türkiye,2024-08-04T07:00:00.000+00:00,
Shooting,Skeet Women's Qualification - Day 2,,,2024-08-04T07:30:00.000+00:00,
Equestrian,Dressage Individual Grand Prix Freestyle,,,2024-08-04T08:00:00.000+00:00,medal match
Hockey,Men's Quarter-final,,,2024-08-04T08:00:00.000+00:00,
Athletics,Women's 3000m Steeplechase Round 1,,,2024-08-04T08:05:00.000+00:00,
Athletics,Women's Hammer Throw Qualification - Group A,,,2024-08-04T08:20:00.000+00:00,
Athletics,Women's 200m Round 1,,,2024-08-04T08:55:00.000+00:00,
Athletics,Men's Long Jump Qualification,,,2024-08-04T09:00:00.000+00:00,
Basketball,Women's Group Phase - Group C (#33),Japan,Belgium,2024-08-04T09:00:00.000+00:00,
Handball,Men's Preliminary Round Group B (#26),Egypt,Argentina,2024-08-04T09:00:00.000+00:00,
Athletics,Women's Hammer Throw Qualification - Group B,,,2024-08-04T09:45:00.000+00:00,
Athletics,Men's 110m Hurdles Round 1,,,2024-08-04T09:50:00.000+00:00,
Boxing,Women's 54kg - Semifinal,,,2024-08-04T10:04:00.000+00:00,
Boxing,Men's 51kg - Semifinal,,,2024-08-04T10:20:00.000+00:00,
Hockey,Men's Quarter-final,,,2024-08-04T10:30:00.000+00:00,
Athletics,Women's 400m Hurdles Round 1,,,2024-08-04T10:35:00.000+00:00,
Boxing,Men's 63.5kg - Semifinal,,,2024-08-04T10:36:00.000+00:00,
Boxing,Men's 80kg - Semifinal,,,2024-08-04T10:52:00.000+00:00,
Shooting,25m Rapid Fire Pistol Men's Qualification - Stage 2,,,2024-08-04T11:00:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool A (#16),France,United States,2024-08-04T11:00:00.000+00:00,
Boxing,Men's 92kg - Semifinal,,,2024-08-04T11:08:00.000+00:00,
Basketball,Women's Group Phase - Group B (#34),Canada,Nigeria,2024-08-04T11:30:00.000+00:00,
Table Tennis,Men's Singles Bronze Medal Match,,,2024-08-04T11:30:00.000+00:00,
Cycling Road,Women's Road Race,,,2024-08-04T12:00:00.000+00:00,medal match
Handball,Men's Preliminary Round Group A (#27),Germany,Slovenia,2024-08-04T12:00:00.000+00:00,
Water Polo,Women's Preliminary Round - Group A (#17),Hungary,Australia,2024-08-04T12:00:00.000+00:00,
Table Tennis,Men's Singles Gold Medal Match,,,2024-08-04T12:30:00.000+00:00,medal match
Archery,Men's Individual Bronze Medal Match (#175),,,2024-08-04T12:33:00.000+00:00,
Archery,Men's Individual Gold Medal Match (#176),,,2024-08-04T12:46:00.000+00:00,medal match
Artistic Gymnastics,Men's Rings Final,,,2024-08-04T13:00:00.000+00:00,medal match
Canoe Slalom,Men's Kayak Cross Heats,,,2024-08-04T13:30:00.000+00:00,
Shooting,Skeet Women's Final,,,2024-08-04T13:30:00.000+00:00,medal match
Water Polo,Women's Preliminary Round - Group B (#18),Italy,Spain,2024-08-04T13:35:00.000+00:00,
Artistic Gymnastics,Women's Uneven Bars Final,,,2024-08-04T13:40:00.000+00:00,medal match
Handball,Men's Preliminary Round Group B (#28),Hungary,France,2024-08-04T14:00:00.000+00:00,
Artistic Gymnastics,Men's Vault Final,,,2024-08-04T14:24:00.000+00:00,medal match
Boxing,Women's 54kg - Semifinal,,,2024-08-04T14:34:00.000+00:00,
Canoe Slalom,Women's Kayak Cross Heats,,,2024-08-04T14:45:00.000+00:00,
Boxing,Men's 51kg - Semifinal,,,2024-08-04T14:50:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool A (#17),China,Serbia,2024-08-04T15:00:00.000+00:00,
Boxing,Men's 63.5kg - Semifinal,,,2024-08-04T15:06:00.000+00:00,
